"N_EFF_Scenario","Rt","CFR_Crisis","VSL","Economic_Loss_BUSD"
2500000,1.1,0.5,1,61.1590909090909
2500000,1.1,0.5,3,183.477272727273
2500000,1.1,0.5,5,305.795454545455
2500000,1.1,0.55,1,66.6477272727273
2500000,1.1,0.55,3,199.943181818182
2500000,1.1,0.55,5,333.238636363637
2500000,1.1,0.6,1,72.1363636363637
2500000,1.1,0.6,3,216.409090909091
2500000,1.1,0.6,5,360.681818181818
2500000,1.1,0.65,1,77.625
2500000,1.1,0.65,3,232.875
2500000,1.1,0.65,5,388.125
2500000,1.1,0.7,1,83.1136363636364
2500000,1.1,0.7,3,249.340909090909
2500000,1.1,0.7,5,415.568181818182
2500000,1.1,0.75,1,88.6022727272728
2500000,1.1,0.75,3,265.806818181818
2500000,1.1,0.75,5,443.011363636364
2500000,1.1,0.8,1,94.0909090909091
2500000,1.1,0.8,3,282.272727272727
2500000,1.1,0.8,5,470.454545454546
2500000,1.1,0.85,1,99.5795454545455
2500000,1.1,0.85,3,298.738636363636
2500000,1.1,0.85,5,497.897727272727
2500000,1.5,0.5,1,224.25
2500000,1.5,0.5,3,672.75
2500000,1.5,0.5,5,1121.25
2500000,1.5,0.55,1,244.375
2500000,1.5,0.55,3,733.125
2500000,1.5,0.55,5,1221.875
2500000,1.5,0.6,1,264.5
2500000,1.5,0.6,3,793.5
2500000,1.5,0.6,5,1322.5
2500000,1.5,0.65,1,284.625
2500000,1.5,0.65,3,853.875
2500000,1.5,0.65,5,1423.125
2500000,1.5,0.7,1,304.75
2500000,1.5,0.7,3,914.25
2500000,1.5,0.7,5,1523.75
2500000,1.5,0.75,1,324.875
2500000,1.5,0.75,3,974.625
2500000,1.5,0.75,5,1624.375
2500000,1.5,0.8,1,345
2500000,1.5,0.8,3,1035
2500000,1.5,0.8,5,1725
2500000,1.5,0.85,1,365.125
2500000,1.5,0.85,3,1095.375
2500000,1.5,0.85,5,1825.625
2500000,1.9,0.5,1,318.671052631579
2500000,1.9,0.5,3,956.013157894737
2500000,1.9,0.5,5,1593.35526315789
2500000,1.9,0.55,1,347.269736842105
2500000,1.9,0.55,3,1041.80921052632
2500000,1.9,0.55,5,1736.34868421053
2500000,1.9,0.6,1,375.868421052632
2500000,1.9,0.6,3,1127.60526315789
2500000,1.9,0.6,5,1879.34210526316
2500000,1.9,0.65,1,404.467105263158
2500000,1.9,0.65,3,1213.40131578947
2500000,1.9,0.65,5,2022.33552631579
2500000,1.9,0.7,1,433.065789473684
2500000,1.9,0.7,3,1299.19736842105
2500000,1.9,0.7,5,2165.32894736842
